ID.x;latitude;longitude;study;site;SiteBlock;replicate;treatment.direction;treatment.level;grouping.x;treat.duration.y;duration_rescale;size.local;size.gamma;N.replicates;delta.T;delta.T1_rescale;T_warm_chelsa;T_warm_rescale;LRR_gammaSn;LRR_gammaSPie
Welshofer_2018a.csv;42.4;-85.4;Welshofer_2018;kbs;kbs - A;1;T;1;"2016_Welshofer_2018a;kbs;T;T;1;2016;2";2;-0.545692894;1;3;3;1.73;-0.121135616;20.95;1.236953869;0.251314428;-0.077875375
Welshofer_2018b.csv;45.56;-84.71;Welshofer_2018;umbs;umbs - A;1;T;1;"2016_Welshofer_2018b;umbs;T;T;1;2016;2";2;-0.545692894;1;3;3;1.84;-0.078372562;18.85;1.0250002;-0.09531018;0.039146986
Hollister_2015a.csv;70.45373011;-157.4073879;Hollister_2015;AD;AD - A;1;T;1;"2017_Hollister_2015a;AD;T;T;1;2017;2";22;0.659948439;0.75;18;24;1.46;-0.226099474;7.65;-0.105419371;0.047146778;-0.094407276
Hollister_2015b.csv;70.45303348;-157.4003018;Hollister_2015;AW;AW - A;1;T;1;"2017_Hollister_2015b;AW;T;T;1;2017;2";22;0.659948439;0.75;18;24;1.46;-0.226099474;7.65;-0.105419371;0;-0.130466263
Hollister_2015c.csv;71.31502696;-156.6010247;Hollister_2015;BD;BD - A;1;T;1;"2017_Hollister_2015c;BD;T;T;1;2017;2";24;0.780512573;0.75;18;24;1.46;-0.226099474;3.25;-0.549512774;0.029500664;0.023433745
Hollister_2015d.csv;71.31051842;-156.5978987;Hollister_2015;BW;BW - A;1;T;1;"2017_Hollister_2015d;BW;T;T;1;2017;2";23;0.720230506;0.75;18;24;1.46;-0.226099474;3.25;-0.549512774;-0.104834061;0.004178387
Reed_2021a.csv;42.27805556;-123.6427778;Reed_2021;Southern;Southern - A;1;T;1;"2019_Reed_2021a;Southern;T;T;1;2019;2";3;-0.485410828;1;5;5;2.5;0.178205758;20.95;1.236953869;-0.019608471;0.438359694
Reed_2021b.csv;44.02611111;-123.1822222;Reed_2021;Central;Central - A;1;T;1;"2019_Reed_2021b;Central;T;T;1;2019;2";3;-0.485410828;1;5;5;2.5;0.178205758;18.45;0.984628072;-0.20922901;-0.139403791
Reed_2021c.csv;46.89638889;-122.735;Reed_2021;Northern;Northern - A;1;T;1;"2019_Reed_2021c;Northern;T;T;1;2019;2";3;-0.485410828;1;5;5;2.5;0.178205758;16.95;0.833232594;-0.083672476;0.242913497
Collins_2022.csv;40.05;-105.58333;Collins_2022;NWR;NWR - A;1;T;1;"2020_Collins_2022;NWR;T;T;1;2020;2";16;0.298256039;1;6;6;1;-0.404926788;10.05;0.136813394;-0.134732594;0.015407525
